"Group","PPH","Direct %","Indirect %","Gap %"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Judd Mckeown","104","91.42%","3.30%","5.28%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Judd Mckeown -> 2026-05-22","107","93.48%","2.88%","3.64%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Judd Mckeown -> 2026-05-23","107","92.92%","1.26%","5.82%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Judd Mckeown -> 2026-05-24","98","87.79%","5.78%","6.44%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Kaleb Begay","111","89.11%","2.95%","7.95%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Kaleb Begay -> 2026-05-22","104","90.39%","2.39%","7.22%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Kaleb Begay -> 2026-05-23","115","90.08%","1.98%","7.95%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Kaleb Begay -> 2026-05-24","112","86.99%","4.43%","8.58%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Lavina Ramos","94","78.43%","6.38%","15.18%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Lavina Ramos -> 2026-05-22","98","83.93%","9.83%","6.24%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Lavina Ramos -> 2026-05-23","68","58.73%","10.24%","31.03%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Lavina Ramos -> 2026-05-24","102","84.67%","0.00%","15.33%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Mathew Laplante","94","74.36%","9.92%","15.72%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Mathew Laplante -> 2026-05-22","87","76.23%","8.70%","15.07%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Mathew Laplante -> 2026-05-23","101","69.93%","13.50%","16.58%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Mathew Laplante -> 2026-05-24","94","76.90%","7.51%","15.59%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Missy Dungan","91","89.02%","4.72%","6.27%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Missy Dungan -> 2026-05-22","100","91.54%","3.99%","4.48%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Missy Dungan -> 2026-05-23","84","87.91%","5.49%","6.60%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Missy Dungan -> 2026-05-24","89","87.64%","4.66%","7.70%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Orion Bedonie","102","85.26%","3.14%","11.60%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Orion Bedonie -> 2026-05-22","109","82.81%","5.32%","11.88%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Orion Bedonie -> 2026-05-23","106","82.63%","3.12%","14.25%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Orion Bedonie -> 2026-05-24","95","88.61%","1.89%","9.50%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Rachael Moore","98","71.55%","14.74%","13.71%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Rachael Moore -> 2026-05-22","84","69.29%","11.93%","18.77%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Rachael Moore -> 2026-05-24","107","72.96%","16.49%","10.55%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Selina Munoz","87","85.20%","9.75%","5.05%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Selina Munoz -> 2026-05-22","81","83.58%","10.27%","6.15%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Selina Munoz -> 2026-05-23","91","83.89%","12.75%","3.36%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Selina Munoz -> 2026-05-24","88","88.50%","5.85%","5.66%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Will Browne","103","90.96%","0.95%","8.09%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Will Browne -> 2026-05-22","101","87.52%","0.00%","12.48%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Will Browne -> 2026-05-23","104","91.85%","2.74%","5.40%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Will Browne -> 2026-05-24","103","93.86%","0.00%","6.14%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Will Taber","89","82.92%","5.78%","11.30%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Will Taber -> 2026-05-22","81","86.72%","3.57%","9.70%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Will Taber -> 2026-05-23","97","77.89%","10.31%","11.80%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Will Taber -> 2026-05-24","88","84.33%","3.14%","12.54%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Zachary White","107","19.42%","24.48%","2.06%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Zachary White -> 2026-05-18","0","0.00%","100.00%","0.00%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Zachary White -> 2026-05-21","0","0.00%","0.00%","0.07%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Zachary White -> 2026-05-22","0","0.00%","0.00%","0.61%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Zachary White -> 2026-05-23","107","57.86%","36.72%","5.42%"
" -> 2026-05-18 -> Alana Sledge -> Picker -> Zachary White -> 2026-05-24","108","26.37%","30.35%","2.89%"
" -> 2026-05-18 -> Alana Sledge -> Put Away","111","76.74%","14.13%","9.14%"
" -> 2026-05-18 -> Alana Sledge -> Put Away -> Malar Jones","111","76.74%","14.13%","9.14%"
" -> 2026-05-18 -> Alana Sledge -> Put Away -> Malar Jones -> 2026-05-18","34","55.44%","44.56%","0.00%"
" -> 2026-05-18 -> Alana Sledge -> Put Away -> Malar Jones -> 2026-05-19","138","87.18%","0.00%","12.82%"
" -> 2026-05-18 -> Alana Sledge -> Put Away -> Malar Jones -> 2026-05-21","127","63.81%","0.00%","36.19%"
" -> 2026-05-18 -> Alana Sledge -> Put Away -> Malar Jones -> 2026-05-22","112","87.01%","5.51%","7.48%"
" -> 2026-05-18 -> Alana Sledge -> Put Away -> Malar Jones -> 2026-05-23","120","85.67%","5.33%","9.00%"
" -> 2026-05-18 -> Alana Sledge -> Put Away -> Malar Jones -> 2026-05-24","108","63.98%","26.53%","9.49%"
" -> 2026-05-18 -> Cameron Hodges","124","68.00%","23.73%","6.61%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor","124","73.69%","18.65%","6.99%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Andre Aley","119","85.12%","3.06%","11.82%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Andre Aley -> 2026-05-18","121","91.81%","0.00%","8.19%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Andre Aley -> 2026-05-19","117","76.02%","0.00%","23.98%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Andre Aley -> 2026-05-21","118","92.02%","0.00%","7.98%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Andre Aley -> 2026-05-22","124","75.18%","4.17%","20.64%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Andre Aley -> 2026-05-23","111","87.32%","4.45%","8.23%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Andre Aley -> 2026-05-24","123","90.94%","5.66%","3.41%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Angel Trevizo","101","85.89%","5.73%","8.37%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Angel Trevizo -> 2026-05-22","105","87.81%","3.60%","8.59%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Angel Trevizo -> 2026-05-23","101","86.11%","5.24%","8.65%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Angel Trevizo -> 2026-05-24","97","83.84%","8.27%","7.89%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Aniyah Rice Hicks","108","79.69%","5.85%","14.46%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Aniyah Rice Hicks -> 2026-05-22","100","77.32%","5.88%","16.80%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Aniyah Rice Hicks -> 2026-05-23","111","80.93%","5.04%","14.04%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Aniyah Rice Hicks -> 2026-05-24","114","80.98%","6.73%","12.30%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Brandon Fox","122","89.48%","4.74%","5.78%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Brandon Fox -> 2026-05-22","134","89.22%","4.52%","6.26%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Brandon Fox -> 2026-05-23","121","88.11%","6.16%","5.73%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Brandon Fox -> 2026-05-24","111","91.16%","3.52%","5.32%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Brano Nahsonhoya","127","37.33%","61.28%","1.39%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Brano Nahsonhoya -> 2026-05-18","0","0.00%","100.00%","0.00%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Brano Nahsonhoya -> 2026-05-19","132","97.83%","0.00%","2.17%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Brano Nahsonhoya -> 2026-05-21","119","96.15%","0.00%","3.85%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Brano Nahsonhoya -> 2026-05-22","130","61.30%","35.39%","3.30%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Brano Nahsonhoya -> 2026-05-23","131","9.31%","90.69%","0.00%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Brano Nahsonhoya -> 2026-05-24","123","3.70%","96.30%","0.00%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Casandra Kirk","117","85.37%","4.22%","10.41%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Casandra Kirk -> 2026-05-22","123","87.90%","4.20%","7.90%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Casandra Kirk -> 2026-05-23","122","83.99%","3.65%","12.36%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Casandra Kirk -> 2026-05-24","106","84.18%","4.82%","11.00%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Chris Babcock","111","93.67%","3.70%","2.63%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Chris Babcock -> 2026-05-22","113","92.40%","5.20%","2.39%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Chris Babcock -> 2026-05-23","105","93.61%","3.53%","2.86%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Chris Babcock -> 2026-05-24","117","95.22%","2.14%","2.65%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Daniel Eagleburger","105","89.07%","4.01%","6.92%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Daniel Eagleburger -> 2026-05-22","107","90.18%","3.51%","6.31%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Daniel Eagleburger -> 2026-05-23","107","87.04%","6.64%","6.32%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Daniel Eagleburger -> 2026-05-24","101","90.18%","1.64%","8.18%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Daryn Galvez","98","78.20%","15.49%","6.31%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Daryn Galvez -> 2026-05-18","105","53.60%","43.83%","2.57%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Daryn Galvez -> 2026-05-19","113","91.96%","5.53%","2.51%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Daryn Galvez -> 2026-05-22","149","70.79%","23.72%","5.49%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Daryn Galvez -> 2026-05-23","86","84.43%","3.74%","11.82%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Daryn Galvez -> 2026-05-24","81","91.70%","1.75%","6.55%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Dominik Badillo","90","85.86%","2.66%","11.47%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Dominik Badillo -> 2026-05-22","78","82.58%","2.93%","14.49%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Dominik Badillo -> 2026-05-23","93","88.99%","1.84%","9.17%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Dominik Badillo -> 2026-05-24","97","86.06%","3.23%","10.71%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Gaige Phillips","120","81.01%","15.00%","4.00%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Gaige Phillips -> 2026-05-22","132","67.28%","27.39%","5.33%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Gaige Phillips -> 2026-05-23","113","93.98%","3.29%","2.74%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Gregory Mullis","147","88.10%","4.85%","7.05%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Gregory Mullis -> 2026-05-22","149","88.53%","3.88%","7.59%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Gregory Mullis -> 2026-05-23","158","88.29%","5.68%","6.04%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Gregory Mullis -> 2026-05-24","134","87.53%","4.85%","7.62%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Heidi Young","224","93.63%","3.62%","2.75%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Heidi Young -> 2026-05-22","239","92.95%","4.82%","2.22%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Heidi Young -> 2026-05-23","202","94.15%","3.38%","2.47%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Heidi Young -> 2026-05-24","233","93.80%","2.50%","3.69%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Herschel Mure","111","84.25%","5.06%","10.69%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Herschel Mure -> 2026-05-22","107","81.76%","4.36%","13.87%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Herschel Mure -> 2026-05-23","108","80.92%","8.34%","10.74%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Herschel Mure -> 2026-05-24","118","90.16%","2.43%","7.41%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Jason Connolly","119","17.31%","80.39%","2.30%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Jason Connolly -> 2026-05-22","125","44.28%","48.95%","6.76%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Jason Connolly -> 2026-05-23","84","6.83%","93.17%","0.00%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Jason Connolly -> 2026-05-24","0","0.00%","100.00%","0.00%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Joe McCain","118","28.23%","69.47%","2.30%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Joe McCain -> 2026-05-22","118","86.90%","6.10%","7.00%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Joe McCain -> 2026-05-23","100","1.84%","98.16%","0.00%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Joe McCain -> 2026-05-24","0","0.00%","99.82%","0.18%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Jonathan Luke Brown","113","87.11%","2.54%","10.36%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Jonathan Luke Brown -> 2026-05-22","114","90.35%","3.32%","6.32%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Jonathan Luke Brown -> 2026-05-23","104","90.61%","2.91%","6.48%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Jonathan Luke Brown -> 2026-05-24","125","80.26%","1.37%","18.38%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Julie Portillos","116","90.71%","3.62%","5.67%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Julie Portillos -> 2026-05-22","117","89.51%","3.32%","7.17%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Julie Portillos -> 2026-05-23","132","91.67%","3.34%","4.98%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Julie Portillos -> 2026-05-24","100","91.01%","4.21%","4.79%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Kayla Ojeda","118","77.84%","9.80%","12.36%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Kayla Ojeda -> 2026-05-22","125","72.77%","12.41%","14.82%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Kayla Ojeda -> 2026-05-23","117","81.77%","9.78%","8.45%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Kayla Ojeda -> 2026-05-24","112","79.53%","6.12%","14.35%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Logan Menefee","117","63.56%","30.66%","5.78%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Logan Menefee -> 2026-05-22","120","86.16%","5.35%","8.49%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Logan Menefee -> 2026-05-23","118","38.11%","58.62%","3.27%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Logan Menefee -> 2026-05-24","111","65.12%","29.56%","5.32%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Nataleigh Witwicki","196","71.45%","23.92%","4.63%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Nataleigh Witwicki -> 2026-05-19","223","88.78%","1.68%","9.54%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Nataleigh Witwicki -> 2026-05-20","211","92.40%","0.00%","7.60%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Nataleigh Witwicki -> 2026-05-21","208","91.65%","0.00%","8.35%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Nataleigh Witwicki -> 2026-05-22","180","88.98%","7.97%","3.05%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Nataleigh Witwicki -> 2026-05-23","180","89.05%","8.05%","2.90%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Nataleigh Witwicki -> 2026-05-24","186","0.49%","98.36%","1.16%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Noah Ramirez","134","29.45%","67.73%","2.82%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Noah Ramirez -> 2026-05-22","136","47.49%","48.91%","3.60%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Noah Ramirez -> 2026-05-23","124","11.47%","86.48%","2.04%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Shayla Reaves","100","72.79%","9.10%","18.11%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Shayla Reaves -> 2026-05-22","102","77.71%","8.97%","13.32%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Shayla Reaves -> 2026-05-23","95","69.17%","11.02%","19.81%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Shayla Reaves -> 2026-05-24","103","71.43%","7.28%","21.29%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Silvester Romero III","121","59.48%","35.43%","5.08%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Silvester Romero III -> 2026-05-22","120","48.28%","45.70%","6.01%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Silvester Romero III -> 2026-05-23","120","52.00%","47.47%","0.52%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Silvester Romero III -> 2026-05-24","122","85.53%","4.34%","10.13%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Taniya Craig","134","92.13%","3.80%","4.07%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Taniya Craig -> 2026-05-22","148","91.90%","4.55%","3.55%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Taniya Craig -> 2026-05-23","129","91.90%","3.71%","4.38%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Taniya Craig -> 2026-05-24","125","92.60%","3.13%","4.27%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Tiffany Hatchel","104","47.30%","33.26%","4.11%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Tiffany Hatchel -> 2026-05-22","102","39.43%","10.86%","5.20%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Tiffany Hatchel -> 2026-05-23","100","40.63%","56.55%","2.82%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Tiffany Hatchel -> 2026-05-24","109","62.60%","33.11%","4.29%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Xavier Salcido","115","89.27%","2.36%","8.37%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Xavier Salcido -> 2026-05-18","108","89.91%","0.00%","10.09%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Xavier Salcido -> 2026-05-20","113","86.65%","0.00%","13.35%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Xavier Salcido -> 2026-05-21","135","93.46%","0.00%","6.54%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Xavier Salcido -> 2026-05-22","122","88.27%","3.56%","8.17%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Xavier Salcido -> 2026-05-23","97","87.54%","5.36%","7.10%"
" -> 2026-05-18 -> Cameron Hodges -> Inventory Processor -> Xavier Salcido -> 2026-05-24","117","89.17%","2.96%","7.87%"
" -> 2026-05-18 -> Cameron Hodges -> Returns Clerk","85","6.21%","78.99%","2.47%"
" -> 2026-05-18 -> Cameron Hodges -> Returns Clerk -> Adrian Ramirez","80","9.78%","70.60%","3.14%"
" -> 2026-05-18 -> Cameron Hodges -> Returns Clerk -> Adrian Ramirez -> 2026-05-22","96","9.88%","76.22%","4.83%"
" -> 2026-05-18 -> Cameron Hodges -> Returns Clerk -> Adrian Ramirez -> 2026-05-23","59","14.52%","44.36%","3.93%"
" -> 2026-05-18 -> Cameron Hodges -> Returns Clerk -> Adrian Ramirez -> 2026-05-24","128","3.81%","96.11%","0.08%"
" -> 2026-05-18 -> Cameron Hodges -> Returns Clerk -> Jonathan Contreras","87","8.50%","86.78%","4.72%"
" -> 2026-05-18 -> Cameron Hodges -> Returns Clerk -> Jonathan Contreras -> 2026-05-22","103","7.04%","85.45%","7.51%"
" -> 2026-05-18 -> Cameron Hodges -> Returns Clerk -> Jonathan Contreras -> 2026-05-23","75","9.96%","88.12%","1.93%"
" -> 2026-05-18 -> Cameron Hodges -> Returns Clerk -> Sarah Pinkerton","120","1.04%","81.89%","0.23%"
" -> 2026-05-18 -> Cameron Hodges -> Returns Clerk -> Sarah Pinkerton -> 2026-05-22","0","0.00%","90.76%","0.06%"
" -> 2026-05-18 -> Cameron Hodges -> Returns Clerk -> Sarah Pinkerton -> 2026-05-23","0","0.00%","92.47%","0.44%"
" -> 2026-05-18 -> Cameron Hodges -> Returns Clerk -> Sarah Pinkerton -> 2026-05-24","120","3.64%","57.72%","0.19%"
" -> 2026-05-18 -> Chelsea Chappell","95","72.33%","7.30%","9.41%"
" -> 2026-05-18 -> Chelsea Chappell -> Picker","90","77.72%","6.21%","10.89%"
" -> 2026-05-18 -> Chelsea Chappell -> Picker -> Adrian Rosales","69","76.02%","1.44%","22.54%"
" -> 2026-05-18 -> Chelsea Chappell -> Picker -> Adrian Rosales -> 2026-05-20","0","0.00%","0.00%","100.00%"
" -> 2026-05-18 -> Chelsea Chappell -> Picker -> Adrian Rosales -> 2026-05-21","65","80.81%","0.00%","19.19%"
" -> 2026-05-18 -> Chelsea Chappell -> Picker -> Adrian Rosales -> 2026-05-22","66","84.02%","3.09%","12.89%"
" -> 2026-05-18 -> Chelsea Chappell -> Picker -> Adrian Rosales -> 2026-05-23","74","89.68%","1.70%","8.62%"
" -> 2026-05-18 -> Chelsea Chappell -> Picker -> Anthony Garcia","102","86.68%","8.14%","5.19%"
" -> 2026-05-18 -> Chelsea Chappell -> Picker -> Anthony Garcia -> 2026-05-23","108","92.75%","3.25%","4.01%"
" -> 2026-05-18 -> Chelsea Chappell -> Picker -> Anthony Garcia -> 2026-05-24","95","80.38%","13.21%","6.41%"
" -> 2026-05-18 -> Chelsea Chappell -> Picker -> Anthony Lewis","119","90.37%","2.80%","6.83%"
" -> 2026-05-18 -> Chelsea Chappell -> Picker -> Anthony Lewis -> 2026-05-22","133","94.95%","1.71%","3.34%"
" -> 2026-05-18 -> Chelsea Chappell -> Picker -> Anthony Lewis -> 2026-05-23","111","88.57%","2.86%","8.57%"
" -> 2026-05-18 -> Chelsea Chappell -> Picker -> Anthony Lewis -> 2026-05-24","113","87.53%","3.86%","8.61%"
" -> 2026-05-18 -> Chelsea Chappell -> Picker -> Ben Heward","65","69.18%","7.33%","23.49%"
" -> 2026-05-18 -> Chelsea Chappell -> Picker -> Ben Heward -> 2026-05-21","65","79.23%","0.00%","20.77%"
" -> 2026-05-18 -> Chelsea Chappell -> Picker -> Ben Heward -> 2026-05-22","0","0.00%","91.05%","8.95%"
" -> 2026-05-18 -> Chelsea Chappell -> Picker -> Ben Heward -> 2026-05-23","60","45.94%","12.91%","41.16%"
" -> 2026-05-18 -> Chelsea Chappell -> Picker -> Brandyn Cardona","100","86.30%","6.87%","6.83%"
" -> 2026-05-18 -> Chelsea Chappell -> Picker -> Brandyn Cardona -> 2026-05-22","104","82.89%","11.65%","5.46%"
" -> 2026-05-18 -> Chelsea Chappell -> Picker -> Brandyn Cardona -> 2026-05-23","99","86.46%","5.50%","8.04%"
" -> 2026-05-18 -> Chelsea Chappell -> Picker -> Brandyn Cardona -> 2026-05-24","96","89.67%","3.31%","7.02%"
" -> 2026-05-18 -> Chelsea Chappell -> Picker -> Christopher Ellis","68","80.39%","3.55%","16.05%"
" -> 2026-05-18 -> Chelsea Chappell -> Picker -> Christopher Ellis -> 2026-05-21","67","81.33%","3.37%","15.30%"
" -> 2026-05-18 -> Chelsea Chappell -> Picker -> Christopher Ellis -> 2026-05-22","72","79.41%","5.22%","15.37%"
" -> 2026-05-18 -> Chelsea Chappell -> Picker -> Christopher Ellis -> 2026-05-23","64","80.41%","1.55%","18.04%"
" -> 2026-05-18 -> Chelsea Chappell -> Picker -> Edgar Gutierrez","109","85.35%","7.54%","7.11%"
" -> 2026-05-18 -> Chelsea Chappell -> Picker -> Edgar Gutierrez -> 2026-05-22","106","85.10%","8.37%","6.53%"
" -> 2026-05-18 -> Chelsea Chappell -> Picker -> Edgar Gutierrez -> 2026-05-23","108","85.42%","8.67%","5.91%"
" -> 2026-05-18 -> Chelsea Chappell -> Picker -> Edgar Gutierrez -> 2026-05-24","114","85.53%","5.57%","8.89%"
" -> 2026-05-18 -> Chelsea Chappell -> Picker -> Emily Mickelson","85","79.87%","3.64%","16.49%"
" -> 2026-05-18 -> Chelsea Chappell -> Picker -> Emily Mickelson -> 2026-05-21","83","83.47%","0.00%","16.53%"
